file_path,code_churn,commit_count
providers/cncf/kubernetes/docs/changelog.rst,42,4
providers/cncf/kubernetes/src/airflow/providers/cncf/kubernetes/operators/job.py,50,4
providers/cncf/kubernetes/tests/unit/cncf/kubernetes/operators/test_job.py,240,4
providers/amazon/tests/system/amazon/aws/example_bedrock.py,4,1
airflow-core/src/airflow/models/asset.py,17,1
providers/openlineage/src/airflow/providers/openlineage/plugins/listener.py,133,3
providers/openlineage/tests/unit/openlineage/plugins/test_listener.py,129,3
airflow-core/src/airflow/providers_manager.py,105,3
airflow-core/src/airflow/utils/singleton.py,33,1
airflow-core/tests/unit/always/test_providers_manager.py,95,2
airflow-core/tests/unit/utils/test_singleton.py,65,1
Dockerfile.ci,53,6
scripts/docker/entrypoint_ci.sh,20,2
airflow-core/src/airflow/api_fastapi/auth/managers/base_auth_manager.py,51,2
airflow-core/src/airflow/api_fastapi/auth/managers/simple/simple_auth_manager.py,31,3
providers/keycloak/src/airflow/providers/keycloak/auth_manager/cli/commands.py,44,2
providers/keycloak/tests/unit/keycloak/auth_manager/cli/test_commands.py,32,2
providers/cncf/kubernetes/src/airflow/providers/cncf/kubernetes/utils/pod_manager.py,52,3
providers/cncf/kubernetes/tests/unit/cncf/kubernetes/utils/test_pod_manager.py,83,2
providers/google/src/airflow/providers/google/cloud/operators/kubernetes_engine.py,8,2
providers/google/tests/unit/google/cloud/operators/test_kubernetes_engine.py,2,1
providers/cncf/kubernetes/src/airflow/providers/cncf/kubernetes/hooks/kubernetes.py,7,1
providers/google/src/airflow/providers/google/cloud/hooks/kubernetes_engine.py,4,1
chart/newsfragments/58547.significant.rst,24,1
chart/templates/workers/worker-deployment.yaml,109,12
chart/templates/workers/worker-hpa.yaml,20,2
chart/templates/workers/worker-kedaautoscaler.yaml,20,2
chart/templates/workers/worker-networkpolicy.yaml,17,1
chart/templates/workers/worker-service.yaml,17,1
chart/values.schema.json,294,12
chart/values.yaml,146,12
helm-tests/tests/helm_tests/airflow_core/test_worker.py,938,12
helm-tests/tests/helm_tests/other/test_keda.py,103,2
airflow-core/docs/howto/custom-view-plugin.rst,2,1
airflow-core/src/airflow/api_fastapi/app.py,14,2
airflow-core/src/airflow/api_fastapi/auth/managers/simple/routes/login.py,2,1
airflow-core/src/airflow/api_fastapi/compat.py,20,1
airflow-core/src/airflow/api_fastapi/core_api/app.py,34,3
providers/amazon/src/airflow/providers/amazon/aws/auth_manager/routes/login.py,7,2
providers/fab/src/airflow/providers/fab/auth_manager/api_fastapi/routes/login.py,6,1
providers/fab/src/airflow/providers/fab/auth_manager/api_fastapi/services/login.py,3,1
providers/fab/src/airflow/providers/fab/auth_manager/fab_auth_manager.py,50,2
providers/fab/tests/unit/fab/auth_manager/api_fastapi/services/test_login.py,2,1
providers/keycloak/src/airflow/providers/keycloak/auth_manager/routes/login.py,4,2
providers/keycloak/src/airflow/providers/keycloak/auth_manager/routes/token.py,23,3
providers/keycloak/src/airflow/providers/keycloak/auth_manager/services/token.py,49,3
airflow-core/docs/img/airflow_erd.sha256,8,4
airflow-core/docs/img/airflow_erd.svg,16763,5
airflow-core/docs/migrations-ref.rst,12,3
airflow-core/src/airflow/api_fastapi/core_api/openapi/v2-rest-api-generated.yaml,14,2
airflow-core/src/airflow/api_fastapi/core_api/routes/public/dags.py,5,1
airflow-core/src/airflow/dag_processing/collection.py,16,3
airflow-core/src/airflow/migrations/versions/0098_3_2_0_add_timetable_type_to_dag_table_for_.py,55,1
airflow-core/src/airflow/models/dag.py,42,4
airflow-core/src/airflow/timetables/base.py,28,1
airflow-core/src/airflow/ui/openapi-gen/queries/common.ts,5,1
airflow-core/src/airflow/ui/openapi-gen/queries/ensureQueryData.ts,6,1
airflow-core/src/airflow/ui/openapi-gen/queries/prefetch.ts,6,1
airflow-core/src/airflow/ui/openapi-gen/queries/queries.ts,6,1
airflow-core/src/airflow/ui/openapi-gen/queries/suspense.ts,6,1
airflow-core/src/airflow/ui/openapi-gen/requests/services.gen.ts,4,1
airflow-core/src/airflow/ui/openapi-gen/requests/types.gen.ts,5,4
airflow-core/src/airflow/utils/db.py,451,5
airflow-core/tests/unit/api_fastapi/core_api/routes/public/test_dags.py,15,1
scripts/ci/prek/inline_scripts_in_docker.py,2,1
dev/README_RELEASE_AIRFLOWCTL.md,41,2
dev/README_RELEASE_PROVIDERS.md,110,2
chart/templates/NOTES.txt,152,8
airflow-core/src/airflow/ui/src/components/DataTable/ToggleTableDisplay.tsx,60,2
airflow-core/src/airflow/ui/src/components/ui/ButtonGroupToggle.test.tsx,88,1
airflow-core/src/airflow/ui/src/components/ui/ButtonGroupToggle.tsx,59,1
airflow-core/src/airflow/ui/src/components/ui/index.ts,1,1
airflow-core/src/airflow/ui/src/pages/DagsList/DagsFilters/DagsFilters.tsx,371,3
airflow-core/src/airflow/ui/src/pages/DagsList/DagsFilters/FavoriteFilter.tsx,145,2
airflow-core/src/airflow/ui/src/pages/DagsList/DagsFilters/PausedFilter.tsx,109,2
airflow-core/src/airflow/ui/src/pages/DagsList/DagsFilters/RequiredActionFilter.tsx,47,1
airflow-core/src/airflow/ui/src/pages/DagsList/DagsFilters/StateFilters.tsx,194,2
airflow-core/src/airflow/ui/src/pages/DagsList/DagsFilters/TagFilter.tsx,7,2
airflow-core/src/airflow/ui/src/pages/DagsList/DagsList.test.tsx,8,1
dev/breeze/src/airflow_breeze/commands/release_management_validation.py,2,1
contributing-docs/testing/unit_tests.rst,5,2
providers/databricks/pyproject.toml,26,8
shared/plugins_manager/src/airflow_shared/plugins_manager/plugins_manager.py,307,2
chart/templates/_helpers.yaml,20,1
chart/templates/api-server/api-server-deployment.yaml,12,3
chart/templates/dag-processor/dag-processor-deployment.yaml,4,1
chart/templates/flower/flower-deployment.yaml,4,1
chart/templates/pgbouncer/pgbouncer-deployment.yaml,4,1
chart/templates/scheduler/scheduler-deployment.yaml,23,3
chart/templates/statsd/statsd-deployment.yaml,4,1
chart/templates/triggerer/triggerer-deployment.yaml,4,1
chart/templates/webserver/webserver-deployment.yaml,4,1
helm-tests/tests/helm_tests/airflow_core/test_api_server.py,19,1
helm-tests/tests/helm_tests/airflow_core/test_dag_processor.py,19,1
helm-tests/tests/helm_tests/airflow_core/test_scheduler.py,218,2
helm-tests/tests/helm_tests/airflow_core/test_triggerer.py,19,1
helm-tests/tests/helm_tests/other/test_flower.py,19,1
helm-tests/tests/helm_tests/other/test_pgbouncer.py,19,1
helm-tests/tests/helm_tests/other/test_statsd.py,19,1
helm-tests/tests/helm_tests/webserver/test_webserver.py,19,1
.github/PULL_REQUEST_TEMPLATE.md,59,2
contributing-docs/05_pull_requests.rst,72,2
.pre-commit-config.yaml,55,16
providers/google/src/airflow/providers/google/cloud/triggers/bigquery.py,15,1
providers/google/src/airflow/providers/google/cloud/triggers/dataproc.py,28,1
providers/google/tests/system/google/gcp_api_client_helpers.py,14,2
providers/google/tests/unit/google/cloud/utils/gcp_authenticator.py,6,1
providers/google/tests/unit/google/marketing_platform/operators/test_campaign_manager.py,9,2
chart/newsfragments/60354.significant.rst,3,1
.github/actions/breeze/action.yml,8,3
.github/actions/install-prek/action.yml,10,4
.github/actions/post_tests_failure/action.yml,6,1
.github/actions/post_tests_success/action.yml,2,1
.github/workflows/basic-tests.yml,27,7
.github/workflows/release_dockerhub_image.yml,6,3
Dockerfile,34,4
dev/breeze/doc/ci/02_images.md,10,4
dev/breeze/src/airflow_breeze/commands/release_management_commands.py,14,5
dev/breeze/src/airflow_breeze/global_constants.py,9,6
dev/breeze/uv.lock,694,4
pyproject.toml,52,9
scripts/tools/setup_breeze,6,3
providers/edge3/src/airflow/providers/edge3/plugins/www/dist/main.umd.cjs,28,2
providers/edge3/src/airflow/providers/edge3/plugins/www/package.json,42,2
providers/edge3/src/airflow/providers/edge3/plugins/www/pnpm-lock.yaml,2451,2
providers/edge3/www-hash.txt,4,2
docs/spelling_wordlist.txt,3,3
providers/ssh/docs/index.rst,2,1
providers/ssh/docs/operators/ssh_remote_job.rst,264,1
providers/ssh/provider.yaml,8,1
providers/ssh/pyproject.toml,3,2
providers/ssh/src/airflow/providers/ssh/get_provider_info.py,12,1
