file_path,code_churn,commit_count
providers/apache/impala/README.rst,45,1
providers/apache/impala/docs/changelog.rst,13,1
providers/apache/impala/docs/index.rst,36,2
providers/apache/impala/provider.yaml,3,1
providers/apache/impala/pyproject.toml,18,3
providers/apache/impala/src/airflow/providers/apache/impala/__init__.py,2,1
providers/apache/kafka/README.rst,14,2
providers/apache/kafka/docs/changelog.rst,23,2
providers/apache/kafka/docs/index.rst,16,2
providers/apache/kafka/provider.yaml,6,2
providers/apache/kafka/pyproject.toml,18,3
providers/apache/kafka/src/airflow/providers/apache/kafka/__init__.py,4,2
providers/apache/kylin/README.rst,6,1
providers/apache/kylin/docs/changelog.rst,12,1
providers/apache/kylin/docs/index.rst,6,1
providers/apache/kylin/provider.yaml,3,1
providers/apache/kylin/pyproject.toml,6,1
providers/apache/kylin/src/airflow/providers/apache/kylin/__init__.py,2,1
providers/apache/livy/README.rst,6,1
providers/apache/livy/docs/changelog.rst,13,1
providers/apache/livy/docs/index.rst,8,1
providers/apache/livy/provider.yaml,3,1
providers/apache/livy/pyproject.toml,10,2
providers/apache/livy/src/airflow/providers/apache/livy/__init__.py,2,1
providers/apache/pig/README.rst,6,1
providers/apache/pig/docs/changelog.rst,11,1
providers/apache/pig/docs/index.rst,6,1
providers/apache/pig/provider.yaml,3,1
providers/apache/pig/pyproject.toml,6,1
providers/apache/pig/src/airflow/providers/apache/pig/__init__.py,2,1
providers/apache/pinot/README.rst,6,1
providers/apache/pinot/docs/changelog.rst,11,1
providers/apache/pinot/docs/index.rst,6,1
providers/apache/pinot/provider.yaml,3,1
providers/apache/pinot/pyproject.toml,6,1
providers/apache/pinot/src/airflow/providers/apache/pinot/__init__.py,2,1
providers/apache/spark/README.rst,12,2
providers/apache/spark/docs/changelog.rst,29,2
providers/apache/spark/docs/index.rst,14,2
providers/apache/spark/provider.yaml,7,3
providers/apache/spark/pyproject.toml,16,3
providers/apache/spark/src/airflow/providers/apache/spark/__init__.py,4,2
providers/apache/tinkerpop/README.rst,6,1
providers/apache/tinkerpop/docs/changelog.rst,11,1
providers/apache/tinkerpop/docs/index.rst,19,1
providers/apache/tinkerpop/provider.yaml,3,1
providers/apache/tinkerpop/pyproject.toml,14,1
providers/apache/tinkerpop/src/airflow/providers/apache/tinkerpop/__init__.py,2,1
providers/apprise/README.rst,6,1
providers/apprise/docs/changelog.rst,11,1
providers/apprise/docs/index.rst,6,1
providers/apprise/provider.yaml,3,1
providers/apprise/pyproject.toml,6,1
providers/apprise/src/airflow/providers/apprise/__init__.py,2,1
providers/arangodb/README.rst,6,1
providers/arangodb/docs/changelog.rst,11,1
providers/arangodb/docs/index.rst,6,1
providers/arangodb/provider.yaml,3,1
providers/arangodb/pyproject.toml,6,1
providers/arangodb/src/airflow/providers/arangodb/__init__.py,2,1
providers/asana/README.rst,6,1
providers/asana/docs/changelog.rst,11,1
providers/asana/docs/index.rst,6,1
providers/asana/provider.yaml,3,1
providers/asana/pyproject.toml,6,1
providers/asana/src/airflow/providers/asana/__init__.py,2,1
providers/atlassian/jira/README.rst,8,2
providers/atlassian/jira/docs/changelog.rst,16,1
providers/atlassian/jira/docs/index.rst,6,1
providers/atlassian/jira/provider.yaml,3,1
providers/atlassian/jira/pyproject.toml,6,1
providers/atlassian/jira/src/airflow/providers/atlassian/jira/__init__.py,2,1
providers/celery/README.rst,12,2
providers/celery/docs/changelog.rst,36,2
providers/celery/docs/index.rst,14,2
providers/celery/provider.yaml,9,3
providers/celery/pyproject.toml,16,3
providers/celery/src/airflow/providers/celery/__init__.py,4,2
providers/cloudant/README.rst,6,1
providers/cloudant/docs/changelog.rst,11,1
providers/cloudant/docs/index.rst,6,1
providers/cloudant/provider.yaml,3,1
providers/cloudant/pyproject.toml,6,1
providers/cloudant/src/airflow/providers/cloudant/__init__.py,2,1
providers/cncf/kubernetes/README.rst,12,2
providers/cncf/kubernetes/docs/changelog.rst,76,5
providers/cncf/kubernetes/docs/index.rst,12,2
providers/cncf/kubernetes/provider.yaml,18,4
providers/cncf/kubernetes/pyproject.toml,12,2
providers/cncf/kubernetes/src/airflow/providers/cncf/kubernetes/__init__.py,4,2
providers/cohere/README.rst,6,1
providers/cohere/docs/changelog.rst,11,1
providers/cohere/docs/index.rst,6,1
providers/cohere/provider.yaml,3,1
providers/cohere/pyproject.toml,6,1
providers/cohere/src/airflow/providers/cohere/__init__.py,2,1
providers/common/compat/README.rst,12,2
providers/common/compat/docs/changelog.rst,43,2
providers/common/compat/docs/index.rst,12,2
providers/common/compat/provider.yaml,6,2
providers/common/compat/pyproject.toml,12,2
providers/common/compat/src/airflow/providers/common/compat/__init__.py,4,2
providers/common/io/README.rst,17,1
providers/common/io/docs/changelog.rst,14,1
providers/common/io/docs/index.rst,19,2
providers/common/io/provider.yaml,3,1
providers/common/io/pyproject.toml,12,2
providers/common/io/src/airflow/providers/common/io/__init__.py,2,1
providers/common/messaging/README.rst,6,1
providers/common/messaging/docs/changelog.rst,14,1
providers/common/messaging/docs/index.rst,2,1
providers/common/messaging/provider.yaml,3,1
providers/common/messaging/pyproject.toml,6,1
providers/common/messaging/src/airflow/providers/common/messaging/__init__.py,2,1
providers/common/sql/README.rst,15,2
providers/common/sql/docs/changelog.rst,33,2
providers/common/sql/docs/index.rst,16,2
providers/common/sql/provider.yaml,6,2
providers/common/sql/pyproject.toml,21,4
providers/common/sql/src/airflow/providers/common/sql/__init__.py,4,2
providers/databricks/README.rst,14,2
providers/databricks/docs/changelog.rst,33,2
providers/databricks/docs/index.rst,15,3
providers/databricks/provider.yaml,6,2
providers/databricks/pyproject.toml,34,9
providers/databricks/src/airflow/providers/databricks/__init__.py,4,2
providers/datadog/README.rst,6,1
providers/datadog/docs/changelog.rst,11,1
providers/datadog/docs/index.rst,6,1
providers/datadog/provider.yaml,3,1
providers/datadog/pyproject.toml,6,1
providers/datadog/src/airflow/providers/datadog/__init__.py,2,1
providers/dbt/cloud/README.rst,12,2
providers/dbt/cloud/docs/changelog.rst,26,2
providers/dbt/cloud/docs/index.rst,14,2
providers/dbt/cloud/provider.yaml,6,2
providers/dbt/cloud/pyproject.toml,16,3
providers/dbt/cloud/src/airflow/providers/dbt/cloud/__init__.py,4,2
providers/dingding/README.rst,6,1
providers/dingding/docs/changelog.rst,11,1
providers/dingding/docs/index.rst,6,1
providers/dingding/provider.yaml,3,1
providers/dingding/pyproject.toml,6,1
providers/dingding/src/airflow/providers/dingding/__init__.py,2,1
providers/discord/README.rst,6,1
providers/discord/docs/changelog.rst,16,1
providers/discord/docs/index.rst,7,2
providers/discord/provider.yaml,3,1
providers/discord/pyproject.toml,6,1
providers/discord/src/airflow/providers/discord/__init__.py,2,1
providers/docker/README.rst,6,1
providers/docker/docs/changelog.rst,13,1
providers/docker/docs/index.rst,6,1
providers/docker/provider.yaml,3,1
providers/docker/pyproject.toml,13,1
providers/docker/src/airflow/providers/docker/__init__.py,2,1
providers/edge3/README.rst,16,2
providers/edge3/docs/changelog.rst,49,2
providers/edge3/docs/index.rst,18,3
providers/edge3/provider.yaml,9,3
providers/edge3/pyproject.toml,20,4
providers/edge3/src/airflow/providers/edge3/__init__.py,4,2
providers/elasticsearch/README.rst,14,2
providers/elasticsearch/docs/changelog.rst,23,2
providers/elasticsearch/docs/index.rst,16,2
providers/elasticsearch/provider.yaml,6,2
providers/elasticsearch/pyproject.toml,18,3
providers/elasticsearch/src/airflow/providers/elasticsearch/__init__.py,4,2
providers/exasol/README.rst,47,1
providers/exasol/docs/changelog.rst,14,1
providers/exasol/docs/index.rst,40,2
