number,created_at,merged_at,author,base,head,title,url
136086,2026-01-08T00:05:36Z,2026-01-13T09:59:37Z,richabanker,master,graduate-watch_list_duration_seconds-BETA,Graduate watch_list_duration_seconds to BETA,https://github.com/kubernetes/kubernetes/pull/136086
135770,2025-12-16T13:28:13Z,2026-01-13T03:03:36Z,dnaeon,master,code-generator/defaulter-gen,code-generator/defaulter-gen: generate defaults only if required tags are present,https://github.com/kubernetes/kubernetes/pull/135770
135369,2025-11-20T13:58:06Z,2026-01-12T16:54:13Z,saschagrunert,master,serial-tests,test: Fix image credential pulls test node scheduling,https://github.com/kubernetes/kubernetes/pull/135369
135485,2025-11-27T13:50:07Z,2026-01-12T16:54:22Z,saschagrunert,master,fix-device-plugin-termination-grace-period,Fix device plugin admission failure after container restart,https://github.com/kubernetes/kubernetes/pull/135485
136117,2026-01-08T22:23:29Z,2026-01-13T02:13:44Z,lalitc375,master,dv-strategy,Add utilities to allow strategy.go files to enable DV native validations,https://github.com/kubernetes/kubernetes/pull/136117
135977,2025-12-30T11:25:49Z,2026-01-13T04:21:41Z,pohly,master,test-parallel-fix,make test: fix support for PARALLEL,https://github.com/kubernetes/kubernetes/pull/135977
135850,2025-12-19T16:42:48Z,2026-01-13T02:21:41Z,neolit123,release-1.32,automated-cherry-pick-of-#135400-origin-release-1.32,Automated cherry pick of #135400: kubeadm: do not sort extraArgs alpha-numerically,https://github.com/kubernetes/kubernetes/pull/135850
136112,2026-01-08T19:11:18Z,2026-01-13T02:13:36Z,danwinship,master,network-1.36-cleanup,Drop TopologyAwareHints and ServiceTraficDistribution feature gates,https://github.com/kubernetes/kubernetes/pull/136112
136183,2026-01-12T21:00:59Z,2026-01-12T23:55:38Z,aramase,master,aramase/i/fix_kms_test_136181,test: fix kind local registry config for kms ci jobs,https://github.com/kubernetes/kubernetes/pull/136183
136161,2026-01-11T21:28:05Z,2026-01-12T21:35:37Z,dims,master,update-golang-x-deps-jan2026,Update golang.org/x dependencies to latest versions,https://github.com/kubernetes/kubernetes/pull/136161
