number,created_at,merged_at,lead_time_hours,lead_time_days,author,title,url
135813,2025-12-18T09:06:34Z,2026-01-07T03:35:39Z,474.48,19.77,AkihiroSuda,[release-1.32] hack/lib/util.sh: support uutils' `date` command,https://github.com/kubernetes/kubernetes/pull/135813
135852,2025-12-19T16:43:48Z,2026-01-07T01:37:41Z,440.9,18.37,neolit123,Automated cherry pick of #135400: kubeadm: do not sort extraArgs alpha-numerically,https://github.com/kubernetes/kubernetes/pull/135852
134798,2025-10-22T22:00:08Z,2026-01-07T00:15:37Z,1826.26,76.09,aditigupta96,apimachinery: Use informer.RunWithContext in various components,https://github.com/kubernetes/kubernetes/pull/134798
136058,2026-01-06T20:39:31Z,2026-01-06T21:29:38Z,0.84,0.03,yongruilin,feat(validation-gen): skip generating for List objects,https://github.com/kubernetes/kubernetes/pull/136058
134177,2025-09-20T14:36:32Z,2026-01-06T19:43:38Z,2597.12,108.21,n2h9,[apiserver] [126379]: replace call to HandleCrash with call to HandleCrashWithContext in apiserver,https://github.com/kubernetes/kubernetes/pull/134177
134852,2025-10-24T12:12:00Z,2026-01-06T18:29:39Z,1782.29,74.26,MatteoFari,Enable nomaps rule for Kube API Linter,https://github.com/kubernetes/kubernetes/pull/134852
136053,2026-01-06T09:49:04Z,2026-01-06T15:29:08Z,5.67,0.24,tchap,leasecandidate: Improve goroutine management,https://github.com/kubernetes/kubernetes/pull/136053
135611,2025-12-05T10:29:19Z,2026-01-06T09:15:08Z,766.76,31.95,Karthik-K-N,Fix flake TestDeviceTaintRule test,https://github.com/kubernetes/kubernetes/pull/135611
136037,2026-01-05T20:48:01Z,2026-01-06T05:46:38Z,8.98,0.37,pravk03,Prevent nil pointer dereference in HandlePodUpdates,https://github.com/kubernetes/kubernetes/pull/136037
135904,2025-12-23T11:05:12Z,2026-01-06T03:08:37Z,328.06,13.67,macsko,Automated cherry pick of #135903: Disable SchedulerAsyncAPICalls feature gate due to performance issues,https://github.com/kubernetes/kubernetes/pull/135904
135851,2025-12-19T16:43:28Z,2026-01-06T02:12:37Z,417.49,17.4,neolit123,Automated cherry pick of #135400: kubeadm: do not sort extraArgs alpha-numerically,https://github.com/kubernetes/kubernetes/pull/135851
135853,2025-12-19T16:44:05Z,2026-01-06T02:10:38Z,417.44,17.39,neolit123,Automated cherry pick of #135400: kubeadm: do not sort extraArgs alpha-numerically,https://github.com/kubernetes/kubernetes/pull/135853
135740,2025-12-13T09:37:49Z,2026-01-06T01:56:38Z,568.31,23.68,pohly,Automated cherry pick of #135692: local-up-cluster.sh: support more recent containerd like 2.2,https://github.com/kubernetes/kubernetes/pull/135740
135227,2025-11-07T20:08:08Z,2026-01-05T23:54:38Z,1419.78,59.16,hime,Inverting DRAOperationsDuration metric by inverting 'is_error' label.,https://github.com/kubernetes/kubernetes/pull/135227
130231,2025-02-18T10:12:18Z,2026-01-05T06:58:37Z,7700.77,320.87,Barakmor1,Update ImageLocality plugin to account ImageVolume images,https://github.com/kubernetes/kubernetes/pull/130231
135148,2025-11-05T17:14:58Z,2026-01-04T13:00:37Z,1435.76,59.82,neolit123,kubeadm: add --allow-deprecated-api to 'config validate',https://github.com/kubernetes/kubernetes/pull/135148
